team,total_points,goal_for,goal_against,goal_difference,champion_year,champion_stt
"Arsenal FC",73,73,43,30,2000,0
"Aston Villa FC",58,46,35,11,2000,0
"Bradford City AFC",36,38,68,-30,2000,0
"Chelsea FC",65,53,34,19,2000,0
"Coventry City FC",44,47,54,-7,2000,0
"Derby County FC",38,44,57,-13,2000,0
"Everton FC",50,59,49,10,2000,0
"Leeds United FC",69,58,43,15,2000,0
"Leicester City FC",55,55,55,0,2000,0
"Liverpool FC",67,51,30,21,2000,0
"Manchester United FC",91,97,45,52,2000,1
"Middlesbrough FC",52,46,52,-6,2000,0
"Newcastle United FC",52,63,54,9,2000,0
"Sheffield Wednesday FC",31,38,70,-32,2000,0
"Southampton FC",44,45,62,-17,2000,0
"Sunderland AFC",58,57,56,1,2000,0
"Tottenham Hotspur FC",53,57,49,8,2000,0
"Watford FC",24,35,77,-42,2000,0
"West Ham United FC",55,52,53,-1,2000,0
"Wimbledon FC",33,46,74,-28,2000,0
"Arsenal FC",70,63,38,25,2001,0
"Aston Villa FC",54,46,43,3,2001,0
"Bradford City AFC",26,30,70,-40,2001,0
"Charlton Athletic FC",52,50,57,-7,2001,0
"Chelsea FC",61,68,45,23,2001,0
"Coventry City FC",34,36,63,-27,2001,0
"Derby County FC",42,37,59,-22,2001,0
"Everton FC",42,45,59,-14,2001,0
"Ipswich Town FC",66,57,42,15,2001,0
"Leeds United FC",68,64,43,21,2001,0
"Leicester City FC",48,39,51,-12,2001,0
"Liverpool FC",69,71,39,32,2001,0
"Manchester City FC",34,41,65,-24,2001,0
"Manchester United FC",80,79,31,48,2001,1
"Middlesbrough FC",42,44,44,0,2001,0
"Newcastle United FC",51,44,50,-6,2001,0
"Southampton FC",52,40,48,-8,2001,0
"Sunderland AFC",57,46,41,5,2001,0
"Tottenham Hotspur FC",49,47,54,-7,2001,0
"West Ham United FC",42,45,50,-5,2001,0
"Arsenal FC",87,79,36,43,2002,1
"Aston Villa FC",50,46,47,-1,2002,0
"Blackburn Rovers FC",46,55,51,4,2002,0
"Bolton Wanderers FC",40,44,62,-18,2002,0
"Charlton Athletic FC",44,38,49,-11,2002,0
"Chelsea FC",64,66,38,28,2002,0
"Derby County FC",30,33,63,-30,2002,0
"Everton FC",43,45,57,-12,2002,0
"Fulham FC",44,36,44,-8,2002,0
"Ipswich Town FC",36,41,64,-23,2002,0
"Leeds United FC",66,53,37,16,2002,0
"Leicester City FC",28,30,64,-34,2002,0
"Liverpool FC",80,67,30,37,2002,0
"Manchester United FC",77,87,45,42,2002,0
"Middlesbrough FC",45,35,47,-12,2002,0
"Newcastle United FC",71,74,52,22,2002,0
"Southampton FC",45,46,54,-8,2002,0
"Sunderland AFC",40,29,51,-22,2002,0
"Tottenham Hotspur FC",50,49,53,-4,2002,0
"West Ham United FC",53,48,57,-9,2002,0
"Arsenal FC",78,85,42,43,2003,0
"Aston Villa FC",45,42,47,-5,2003,0
"Birmingham City FC",48,41,49,-8,2003,0
"Blackburn Rovers FC",60,52,43,9,2003,0
"Bolton Wanderers FC",44,41,51,-10,2003,0
"Charlton Athletic FC",49,45,56,-11,2003,0
"Chelsea FC",67,68,38,30,2003,0
"Everton FC",59,48,49,-1,2003,0
"Fulham FC",48,41,50,-9,2003,0
"Leeds United FC",47,58,57,1,2003,0
"Liverpool FC",64,61,41,20,2003,0
"Manchester City FC",51,47,54,-7,2003,0
"Manchester United FC",83,74,34,40,2003,1
"Middlesbrough FC",49,48,44,4,2003,0
"Newcastle United FC",69,63,48,15,2003,0
"Southampton FC",52,43,46,-3,2003,0
"Sunderland AFC",19,21,65,-44,2003,0
"Tottenham Hotspur FC",50,51,62,-11,2003,0
"West Bromwich Albion FC",26,29,65,-36,2003,0
"West Ham United FC",42,42,59,-17,2003,0
"Arsenal FC",90,73,26,47,2004,1
"Aston Villa FC",56,48,44,4,2004,0
"Birmingham City FC",50,43,48,-5,2004,0
"Blackburn Rovers FC",44,51,59,-8,2004,0
"Bolton Wanderers FC",53,48,56,-8,2004,0
"Charlton Athletic FC",53,51,51,0,2004,0
"Chelsea FC",79,67,30,37,2004,0
"Everton FC",39,45,57,-12,2004,0
"Fulham FC",52,52,46,6,2004,0
"Leeds United FC",33,40,79,-39,2004,0
"Leicester City FC",33,48,65,-17,2004,0
"Liverpool FC",60,55,37,18,2004,0
"Manchester City FC",41,55,54,1,2004,0
"Manchester United FC",75,64,35,29,2004,0
"Middlesbrough FC",48,44,52,-8,2004,0
"Newcastle United FC",56,52,40,12,2004,0
"Portsmouth FC",45,47,54,-7,2004,0
"Southampton FC",47,44,45,-1,2004,0
"Tottenham Hotspur FC",45,47,57,-10,2004,0
"Wolverhampton Wanderers FC",33,38,77,-39,2004,0
"Arsenal FC",83,87,36,51,2005,0
"Aston Villa FC",47,45,52,-7,2005,0
"Birmingham City FC",45,40,46,-6,2005,0
"Blackburn Rovers FC",42,32,43,-11,2005,0
"Bolton Wanderers FC",58,49,44,5,2005,0
"Charlton Athletic FC",46,42,58,-16,2005,0
"Chelsea FC",95,72,15,57,2005,1
"Crystal Palace FC",33,41,62,-21,2005,0
"Everton FC",61,45,46,-1,2005,0
"Fulham FC",44,52,60,-8,2005,0
"Liverpool FC",58,52,41,11,2005,0
"Manchester City FC",52,47,39,8,2005,0
"Manchester United FC",77,58,26,32,2005,0
"Middlesbrough FC",55,53,46,7,2005,0
"Newcastle United FC",44,47,57,-10,2005,0
"Norwich City FC",33,42,77,-35,2005,0
"Portsmouth FC",39,43,59,-16,2005,0
"Southampton FC",32,45,66,-21,2005,0
"Tottenham Hotspur FC",52,47,41,6,2005,0
"West Bromwich Albion FC",34,36,61,-25,2005,0
"Arsenal FC",67,68,31,37,2006,0
"Aston Villa FC",42,42,55,-13,2006,0
"Birmingham City FC",34,28,50,-22,2006,0
"Blackburn Rovers FC",63,51,42,9,2006,0
"Bolton Wanderers FC",56,49,41,8,2006,0
"Charlton Athletic FC",47,41,55,-14,2006,0
"Chelsea FC",91,72,22,50,2006,1
"Everton FC",50,34,49,-15,2006,0
"Fulham FC",48,48,58,-10,2006,0
"Liverpool FC",82,57,25,32,2006,0
"Manchester City FC",43,43,48,-5,2006,0
"Manchester United FC",83,72,34,38,2006,0
"Middlesbrough FC",45,48,58,-10,2006,0
"Newcastle United FC",58,47,42,5,2006,0
"Portsmouth FC",38,37,62,-25,2006,0
"Sunderland AFC",15,26,69,-43,2006,0
"Tottenham Hotspur FC",65,53,38,15,2006,0
"West Bromwich Albion FC",30,31,58,-27,2006,0
"West Ham United FC",55,52,55,-3,2006,0
"Wigan Athletic FC",51,45,52,-7,2006,0
"Arsenal FC",68,63,35,28,2007,0
"Aston Villa FC",50,43,41,2,2007,0
"Blackburn Rovers FC",52,52,54,-2,2007,0
"Bolton Wanderers FC",56,47,52,-5,2007,0
"Charlton Athletic FC",34,34,60,-26,2007,0
"Chelsea FC",83,64,24,40,2007,0
"Everton FC",58,52,36,16,2007,0
"Fulham FC",39,38,60,-22,2007,0
"Liverpool FC",68,57,27,30,2007,0
"Manchester City FC",42,29,44,-15,2007,0
"Manchester United FC",89,83,27,56,2007,1
"Middlesbrough FC",46,44,49,-5,2007,0
"Newcastle United FC",43,38,47,-9,2007,0
"Portsmouth FC",54,45,42,3,2007,0
"Reading FC",55,52,47,5,2007,0
"Sheffield United FC",38,32,55,-23,2007,0
"Tottenham Hotspur FC",60,57,54,3,2007,0
"Watford FC",28,29,59,-30,2007,0
"West Ham United FC",41,35,59,-24,2007,0
"Wigan Athletic FC",38,37,59,-22,2007,0
"Arsenal FC",83,74,31,43,2008,0
"Aston Villa FC",60,71,51,20,2008,0
"Birmingham City FC",35,46,62,-16,2008,0
"Blackburn Rovers FC",58,50,48,2,2008,0
"Bolton Wanderers FC",37,36,54,-18,2008,0
"Chelsea FC",85,65,26,39,2008,0
"Derby County FC",11,20,89,-69,2008,0
"Everton FC",65,55,33,22,2008,0
"Fulham FC",36,38,60,-22,2008,0
"Liverpool FC",76,67,28,39,2008,0
"Manchester City FC",55,45,53,-8,2008,0
"Manchester United FC",87,80,22,58,2008,1
"Middlesbrough FC",42,43,53,-10,2008,0
"Newcastle United FC",43,45,65,-20,2008,0
"Portsmouth FC",57,48,40,8,2008,0
